experiment,configuration,runs,median_mse,mean_mse,std_mse,iqr_mse,median_fitness,ga_runtime_runs,median_ga_runtime_s,runtime_runs,median_runtime_s,median_generation_best
selection,boltzmann,5,0.07261621626090875,0.07293958849573985,0.004327610367770949,0.002922280512457978,0.9322999082430009,5,4.451374916010536,5,4.980915624997579,274.0
selection,elite,5,0.056812494780750164,0.057032599041725064,0.002215405431075185,0.001355989631779346,0.9462416511336416,5,4.4853234589973,5,5.120020458998624,300.0
selection,ranking,5,0.06272866928766026,0.06171484185156247,0.005831044414737757,0.005965744358042618,0.9409739559113364,5,4.160022290991037,5,4.689640459007933,298.0
selection,roulette,5,0.07261621626090875,0.07293958849573985,0.004327610367770949,0.002922280512457978,0.9322999082430009,5,4.312985915996251,5,4.887579041998833,274.0
selection,tournament_deterministic,5,0.052305830263794324,0.05137594903531727,0.008802659362845936,0.008821258159599492,0.95029407919304,5,4.193442999996478,5,4.747725624998566,300.0
selection,tournament_probabilistic,5,0.05404015081048232,0.05491596036263968,0.002857600731221424,0.004843332382499704,0.9487304627163118,5,4.205057625003974,5,4.753342041003634,300.0
selection,universal,5,0.056214211242160785,0.0556791576440823,0.0024953679159682167,0.002422863001409703,0.946777641652776,5,4.251957166008651,5,4.817756457996438,298.0
crossover,one_point,5,0.056812494780750164,0.057032599041725064,0.002215405431075185,0.001355989631779346,0.9462416511336416,5,4.4853234589973,5,5.120020458998624,300.0
crossover,two_point,5,0.050937557515099645,0.05345390085699049,0.0077208058071613316,0.005843679643478733,0.9515313187250254,5,4.145602584001608,5,4.705462832993362,296.0
crossover,uniform,5,0.04635442695737372,0.04766695952342565,0.005855071866028564,0.009830950874973654,0.9556991151725093,5,4.210449584003072,5,4.783179374993779,296.0
triangles,20,5,0.04929202085219497,0.04950079994046954,0.007745673458737454,0.009859624710099088,0.9530235436154734,5,2.2717890409985557,5,2.816110291998484,300.0
triangles,50,5,0.056812494780750164,0.057032599041725064,0.002215405431075185,0.001355989631779346,0.9462416511336416,5,4.4853234589973,5,5.120020458998624,300.0
triangles,100,5,0.061426250449578945,0.06434331807865462,0.00547506640097334,0.005466135026644017,0.9421285742428538,5,7.462135334004415,5,8.011855834003654,300.0
population,30,5,0.056812494780750164,0.057032599041725064,0.002215405431075185,0.001355989631779346,0.9462416511336416,5,4.4853234589973,5,5.120020458998624,300.0
population,50,5,0.05110050063457809,0.04961053903998876,0.0031855093936824777,0.00253801639567907,0.9513838109641015,5,7.404223041012301,5,8.027393749987823,297.0
population,100,5,0.036548055545220406,0.03766952379771221,0.0021589397278490375,0.0019235719925752293,0.9647406067189077,5,13.547710041995742,5,14.140378625001176,299.0
population,200,5,0.032018200609360344,0.030679075955071043,0.003897552630999195,0.004862361457338576,0.9689751589744686,5,27.41024916600145,5,28.078310583005077,300.0
survival,additive,5,0.056812494780750164,0.057032599041725064,0.002215405431075185,0.001355989631779346,0.9462416511336416,5,4.4853234589973,5,5.120020458998624,300.0
survival,exclusive,5,0.0659454932552823,0.06449372176954274,0.004531821013978239,0.007851330960383311,0.9381342726503848,5,4.31711475001066,5,4.858179166010814,211.0
mutation,complete,5,0.06090245025693179,0.06099369109482293,0.004819886073537003,0.0068764412364144545,0.9425937321172345,5,4.2335010829992825,5,4.7810909999971045,129.0
mutation,gene,5,0.056812494780750164,0.057032599041725064,0.002215405431075185,0.001355989631779346,0.9462416511336416,5,4.4853234589973,5,5.120020458998624,300.0
mutation,multigene,5,0.025065934111363288,0.024387743671788763,0.002079471816458162,0.0008139929638311151,0.9755470030978124,5,4.327836958007538,5,4.875564375004615,299.0
mutation,uniform,5,0.019099127300087226,0.019309621361511077,0.0022370467236229965,0.002128913197157422,0.9812588130158774,5,4.3747875839908374,5,4.931220250000479,299.0
